shop_name,Review,Location,Number,img
ইট বিডি শপ,৩.৭,৩.৭(১৬৯),01710-913417,https://lh3.googleusercontent.com/p/AF1QipMW_vVJukpyt8jVsG9MUT4hr8ye8CUKWVYpXtM=w163-h92-k-no
ইট স্টোর,৩.৭,৩.৭(৩),01303-697733,https://lh3.googleusercontent.com/p/AF1QipOKmoidqsBTAf_l5Wmq0ezoI_hoSOotBrURBzwp=w122-h92-k-no
AREA 51,৫.০,৫.০(৫৭),01734-618965,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npo59M23HCBk6aDq17C94QJK0ISCohW0AvyYm3OuSjhsBO5cPW4ZAE-KGeLhk2F5aolIt7GE3McIrmK8dlbyG3oLgbF7_0IkjEfXo-h9aibxvXwt4S65B149_L_qqLry227j5bG=w80-h106-k-no
মামনুন কম্পিউটার সিস্টেম,৪.৪,৪.৪(৫৪),01735-363733,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2XuMT2V9ynXTjHAHbTyc9M2pZitqKQQB6D_rH3LyW3dRtrGieR8YJxohZaEjg1EVEdJ2MGVZtx4uqIGzHJPpooYpC057XvWwWbZxGE8CBbr0UdYAAMKkiXLvC2ClD2DQFC5jD=w122-h92-k-no
Tech Land BD - Banani Branch,৪.৯,৪.৯(৩৪),01329-672510,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQyFYOl44DgZPl41iG3X8MoJLoPOAV3rZZ79t5fqk_ltQMWq3hd4py6VBpqbjYgDIDaGCq_KrIw0eDJMl3WIvDzBjfkFtLreHlqw9P8GBX9oSX3YOkzYDcFh21-GM6pDtupzu8IsFu6o_d=w122-h92-k-no
বিসিএস কম্পিউটার সিটি,৪.৫,"৪.৫(১,৮৪২)",01742-413123,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIOuOcsjFi-PS3bZcKyqDas3eb_MVBYGr_UdLdeG2rY1InZemh4GRi7u3kQEkZMJBKsp4i5n_BhhgwpIV3Nsxqau6drousaF0ZXTSxOLJBHLfmTW5HF8SykjgsFuAc9l7bwxY=w80-h142-k-no
রাজ ল্যাপটপ গ্যালারি,৪.৮,৪.৮(১২),01748-261551,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npe1Bhh4MivNFetEqMub7VxZMizp3oi9Ny74BVYpNqRfKpFYbMORtFmsLWe2x4CNak3MMEdNti-N_U9QZGWQn6Qo4jXOaCWFQL328N3m8UT7WaJPKgdaUMpiKG8KfzGqpgR8FRK=w122-h92-k-no
ওয়ানস্টপ সার্ভিস এন্ড সলিউশন,৪.৪,৪.৪(১১১) · ৳,01316-986790,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUAGpUWvCcUL51rxmJyL9ZTHkNFmwbv1m0PRoSezCpL2OYNM5Whog2LnRjWeXujPPExlojrhU3b8ooIxxPYp2nooi5asE8VUI7x89iJ6KNREqEzqLQgnCIgzLaV6xJYVXp0wjr=w163-h92-k-no
টেক ল্যান্ড বিডি - আইডিবি ব্রাঞ্চ,৪.৬,৪.৬(১৮৭),01324-294307,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npS6H9zVB7_GiIBuhg-nDI37qdagPyVC30p7dBVgaewpzJwlND9wzL6BOobUTDFqfXVZeswElL7VmrM2VjSFlgZ24U3uPCCnvu7wlWpCIo_BLxJxyZuTEoUcqqOnfamJHojMCe21g=w80-h106-k-no
"ল্যাপটপ অ্যাকসেসরিজ বিডি,আইডিবি",৪.৩,৪.৩(১৯),01718-236239,https://lh3.googleusercontent.com/p/AF1QipPl79yvmGRcS9ZpOURTKWR37mbT6fh35IGzg846=w138-h92-k-no
